LIQRESOR,REALPROP,WRK_POOR,RAWNET,FSNONCIT,FSTANF,FSERNDED,SHELDED,CERTHHSZ,HWGT,FSSLTDE2,FSGRINC,FSEARN,FSSTDDE2,FSTOTDE2,FSTOTDED,RAWERND,FSUNEARN,TANF_IND,FSNELDER,TPOV,FSSLTDED,FSDIS,FSASSET,FSERNDE2,FSWAGES,FSUSIZE,FSSSI,FSNETINC,FSGA,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,0.0,1.0,900.0,0.0,0.0,259.0,0.0,4.0,1011.3041718713245,0.0,1296.0,1296.0,139.0,398.0,398.0,260.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,259.0,1296.0,4.0,0.0,898.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,268.0,0.0,0.0,0.0,348.0,1.0,798.594035706463,349.0,750.0,0.0,201.0,483.0,483.0,0.0,750.0,0.0,0.0,92.0,349.0,0.0,0.0,0.0,0.0,1.0,0.0,267.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,405.0,0.0,0.0,0.0,65.0,1.0,844.2366646014949,64.0,603.0,0.0,198.0,198.0,198.0,0.0,603.0,0.0,1.0,74.0,64.0,0.0,0.0,0.0,0.0,1.0,603.0,405.0,0.0,1.0,1.0,0.0
948.0,0.0,0.0,303.0,0.0,0.0,0.0,165.0,1.0,810.5480575611468,165.0,603.0,0.0,201.0,299.0,299.0,0.0,603.0,0.0,0.0,74.0,165.0,1.0,948.0,0.0,0.0,1.0,603.0,304.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,711.655694960853,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,150.0,0.0,389.0,0.0,104.0,2.0,754.3041129423528,104.0,389.0,0.0,201.0,238.0,238.0,0.0,389.0,1.0,0.0,35.0,104.0,0.0,0.0,0.0,0.0,2.0,0.0,151.0,0.0,1.0,1.0,0.0
403.0,0.0,1.0,807.0,0.0,0.0,258.0,85.0,4.0,981.9624818750046,85.0,1290.0,1290.0,208.0,482.0,482.0,258.0,0.0,0.0,0.0,77.0,85.0,0.0,403.0,343.0,1290.0,4.0,0.0,808.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,495.0,0.0,0.0,222.0,417.0,3.0,866.5032035168679,417.0,1268.0,1113.0,142.0,773.0,773.0,223.0,155.0,0.0,0.0,92.0,417.0,0.0,0.0,274.0,1113.0,3.0,0.0,495.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,162.0,417.0,1.0,711.655694960853,387.0,812.0,812.0,170.0,812.0,842.0,162.0,0.0,0.0,0.0,99.0,417.0,0.0,0.0,212.0,812.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,547.0,0.0,0.0,117.0,229.0,1.0,869.2314375616089,228.0,1041.0,589.0,201.0,492.0,492.0,118.0,452.0,0.0,0.0,127.0,228.0,1.0,0.0,175.0,589.0,1.0,95.0,549.0,0.0,1.0,1.0,0.0
